name,province,lat,lon,climbed,climbed_date,url,challenge
Fuentes de Ujué-Uxue,Navarra,42.514640449401725, -1.5098365743687545,False,,https://www.wikiloc.com/hiking-trails/fuentes-de-ujue-uxue-20370345#directions,False
Santa maria de Eunate,Navarra,42.67225093082069, -1.7613398981987811,False,,https://www.wikiloc.com/hiking-trails/santa-maria-de-eunate-muruzabal-184961680,False
Dólmenes de Artajona,Navarra,42.587666731343596, -1.7636760918019674,False,,https://www.wikiloc.com/walking-trails/dolmenes-de-artajona-y-cerco-5732288,False
Castillo de Falahsan,Navarra,42.3886411173065, -1.7971842083725045,False,,https://www.wikiloc.com/hiking-trails/castillo-de-los-moros-o-castillo-de-falahsan-humedal-del-soto-abajo-5880352#,False
Barranco de Peñalén,Navarra,42.301445879759214, -1.7952380945769442,False,,https://www.wikiloc.com/hiking-trails/barranco-de-penalen-desde-funes-alto-gurugu-ermita-de-la-v-del-portegado-barranco-penalen-confluenc-96660226,False
Erga,Navarra,42.92845933080658, -1.8133170012969544,False,,https://www.wikiloc.com/hiking-trails/20130911-circ-irurtzun-trinidad-erga-artola-larraun-5231500#directions,False
Pasarela de Holtzarte,Navarra,43.00460842769857, -0.9231284892164318,False,,https://www.wikiloc.com/hiking-trails/pasarela-de-holtzarte-holzarte-y-olhadibia-ruta-circular-53042301#directions,False
Itxako,Navarra,42.759543211116075, -2.1179406319151353,False,,https://www.wikiloc.com/hiking-trails/itxako-cueva-basaura-sartzaleta-ibirin-lokiz-itxako-67119937,False
Urkulu,Navarra,43.04565133616, -1.2412485971366198,False,,https://www.wikiloc.com/hiking-trails/urkulu-1423m-y-cueva-arpea-harpea-desde-el-collado-azpegi-104030490#directions,False
Puttarri,Navarra,42.97037417772314, -2.0563614836501913,False,,https://www.wikiloc.com/hiking-trails/332-putxerri-puttarri-y-la-morada-de-mari-punta-alleko-observatorio-de-las-cinco-ermitas-33943696,False
Via Verde del Bidasoa,Navarra,43.164445651218045, -1.6708770571181832,False,,https://www.wikiloc.com/hiking-trails/via-verde-del-bidasoa-sunbilla-98805525,False
F.Armas Orbaizeta,Navarra,43.009470245467845, -1.228365073167752,False,,https://www.wikiloc.com/hiking-trails/sendero-de-lauzaran-fabrica-de-armas-de-orbaizeta-ruinas-del-castillo-de-arlekia-cuevas-de-lutoa-y-35747955,False
Paso del Oso,Navarra,42.63620797091, -1.170714036983159,False,,https://www.wikiloc.com/hiking-trails/el-castellar-y-penagujerada-paso-del-oso-desde-leyre-71918263,False
Saioa,Navarra,43.046765887944716, -1.565607652058407,True,,https://www.wikiloc.com/hiking-trails/saioa-circular-desde-lanz-ascendiendo-a-loiketa-algorrieta-okolin-zuriain-e-iturrondo-86296006,False
